review_id,review_date,product_id,source,rating,review_text,sentiment_label,primary_aspect,verified_purchase,helpful_votes
RV00015,2025-07-26,P003,Support Follow-up,4,The FitTrack Neo feels reliable and the display is excellent. Delivery was quick and I would recommend it.,positive,display,1,9
RV00016,2025-09-22,P004,Marketplace,5,Excellent purchase. The AeroRun Flex has strong fit and arrived in perfect condition.,positive,fit,0,2
RV00017,2025-09-03,P002,Marketplace,5,Very happy with the SonicWave Lite. The comfort exceeded my expectations and the price feels fair.,positive,comfort,0,8
RV00018,2025-08-07,P001,Marketplace,1,"Bad experience. The PulseBottle Pro has weak lid seal, confusing setup, and unhelpful service.",negative,lid seal,0,12
RV00019,2025-10-21,P004,Retail Survey,4,Excellent purchase. The AeroRun Flex has strong fit and arrived in perfect condition.,positive,fit,1,16
RV00020,2024-01-12,P002,Support Follow-up,1,"Bad experience. The SonicWave Lite has weak sound quality, confusing setup, and unhelpful service.",negative,sound quality,1,14
RV00021,2025-08-07,P004,Retail Survey,1,"Bad experience. The AeroRun Flex has weak fit, confusing setup, and unhelpful service.",negative,fit,1,9
RV00022,2024-03-19,P004,MarketPulse Store,5,Very happy with the AeroRun Flex. The price exceeded my expectations and the price feels fair.,positive,price,1,7
RV00023,2024-08-08,P003,Retail Survey,4,"I have used the FitTrack Neo for several weeks. Great battery, simple setup, and helpful service.",positive,battery,1,0
RV00024,2024-04-25,P002,Retail Survey,5,Excellent purchase. The SonicWave Lite has strong price and arrived in perfect condition.,positive,price,1,18
RV00025,2025-02-09,P004,MarketPulse Store,3,An ordinary experience with the AeroRun Flex. The price is okay for the price.,neutral,price,1,19
RV00026,2025-08-27,P002,Support Follow-up,4,Excellent purchase. The SonicWave Lite has strong sound quality and arrived in perfect condition.,positive,sound quality,1,18
RV00027,2024-09-07,P003,Retail Survey,3,The FitTrack Neo is fine for regular use. The fitness tracking matches the listed specifications.,neutral,fitness tracking,0,6
RV00028,2024-06-23,P004,Retail Survey,2,The AeroRun Flex disappointed me. The fit is poor and support took too long to respond.,negative,fit,1,4
RV00029,2024-03-21,P001,Marketplace,3,The PulseBottle Pro is acceptable. The lid seal is average and delivery took the expected time.,neutral,lid seal,1,0
RV00030,2025-06-07,P003,Retail Survey,1,"Bad experience. The FitTrack Neo has weak display, confusing setup, and unhelpful service.",negative,display,1,3
RV00031,2025-05-14,P003,Support Follow-up,3,An ordinary experience with the FitTrack Neo. The price is okay for the price.,neutral,price,1,8
RV00032,2024-10-13,P004,Support Follow-up,5,Very happy with the AeroRun Flex. The price exceeded my expectations and the price feels fair.,positive,price,1,14
RV00033,2025-07-28,P003,Support Follow-up,5,The FitTrack Neo feels reliable and the display is excellent. Delivery was quick and I would recommend it.,positive,display,1,2
RV00034,2025-05-17,P003,Marketplace,5,The FitTrack Neo feels reliable and the fitness tracking is excellent. Delivery was quick and I would recommend it.,positive,fitness tracking,0,1
RV00035,2024-02-01,P002,Support Follow-up,5,Very happy with the SonicWave Lite. The battery exceeded my expectations and the price feels fair.,positive,battery,1,9
RV00036,2024-04-22,P002,Marketplace,3,The SonicWave Lite is acceptable. The sound quality is average and delivery took the expected time.,neutral,sound quality,1,0
RV00037,2024-12-20,P001,Marketplace,5,"I have used the PulseBottle Pro for several weeks. Great temperature retention, simple setup, and helpful service.",positive,temperature retention,1,5
RV00038,2024-11-29,P004,Support Follow-up,2,Not satisfied with the AeroRun Flex. The sole quality failed within a few days and delivery was delayed.,negative,sole quality,1,5
RV00039,2024-05-20,P004,MarketPulse Store,5,Excellent purchase. The AeroRun Flex has strong sole quality and arrived in perfect condition.,positive,sole quality,1,3
RV00040,2024-07-20,P003,Support Follow-up,4,Excellent purchase. The FitTrack Neo has strong fitness tracking and arrived in perfect condition.,positive,fitness tracking,1,18
RV00041,2024-11-23,P002,MarketPulse Store,4,Excellent purchase. The SonicWave Lite has strong sound quality and arrived in perfect condition.,positive,sound quality,1,0
RV00042,2025-08-17,P002,MarketPulse Store,5,The SonicWave Lite feels reliable and the battery is excellent. Delivery was quick and I would recommend it.,positive,battery,1,23
RV00043,2024-05-15,P004,MarketPulse Store,3,"I received the AeroRun Flex. It works as described, although the sole quality is neither great nor poor.",neutral,sole quality,0,11
RV00044,2025-05-23,P003,MarketPulse Store,5,Excellent purchase. The FitTrack Neo has strong fitness tracking and arrived in perfect condition.,positive,fitness tracking,1,0
RV00045,2024-03-19,P003,Support Follow-up,5,Very happy with the FitTrack Neo. The price exceeded my expectations and the price feels fair.,positive,price,1,0
RV00046,2024-02-27,P001,MarketPulse Store,5,Very happy with the PulseBottle Pro. The build quality exceeded my expectations and the price feels fair.,positive,build quality,1,10
RV00047,2025-12-16,P002,Marketplace,1,Not satisfied with the SonicWave Lite. The comfort failed within a few days and delivery was delayed.,negative,comfort,1,1
RV00048,2024-04-12,P003,Marketplace,5,The FitTrack Neo feels reliable and the display is excellent. Delivery was quick and I would recommend it.,positive,display,1,0
RV00049,2025-09-23,P004,MarketPulse Store,2,Not satisfied with the AeroRun Flex. The price failed within a few days and delivery was delayed.,negative,price,1,15
RV00050,2025-03-17,P002,MarketPulse Store,1,The SonicWave Lite disappointed me. The comfort is poor and support took too long to respond.,negative,comfort,0,8
RV00051,2025-10-06,P001,Marketplace,3,An ordinary experience with the PulseBottle Pro. The build quality is okay for the price.,neutral,build quality,0,10
RV00052,2024-11-26,P001,Retail Survey,4,Excellent purchase. The PulseBottle Pro has strong temperature retention and arrived in perfect condition.,positive,temperature retention,0,13
RV00053,2025-09-29,P003,Retail Survey,2,"Bad experience. The FitTrack Neo has weak fitness tracking, confusing setup, and unhelpful service.",negative,fitness tracking,1,4
RV00054,2024-09-23,P002,Support Follow-up,4,Very happy with the SonicWave Lite. The price exceeded my expectations and the price feels fair.,positive,price,1,6
RV00055,2025-02-09,P003,Marketplace,5,The FitTrack Neo feels reliable and the price is excellent. Delivery was quick and I would recommend it.,positive,price,0,14
RV00056,2024-05-12,P004,MarketPulse Store,5,"I have used the AeroRun Flex for several weeks. Great comfort, simple setup, and helpful service.",positive,comfort,1,1
RV00057,2024-04-30,P001,MarketPulse Store,5,Excellent purchase. The PulseBottle Pro has strong build quality and arrived in perfect condition.,positive,build quality,0,10
RV00058,2024-12-12,P001,Retail Survey,5,Excellent purchase. The PulseBottle Pro has strong build quality and arrived in perfect condition.,positive,build quality,0,7
RV00059,2025-05-30,P003,MarketPulse Store,5,"I have used the FitTrack Neo for several weeks. Great battery, simple setup, and helpful service.",positive,battery,1,10
RV00060,2025-05-10,P001,Support Follow-up,1,Not satisfied with the PulseBottle Pro. The temperature retention failed within a few days and delivery was delayed.,negative,temperature retention,1,0
RV00061,2024-05-29,P003,Marketplace,3,The FitTrack Neo is fine for regular use. The battery matches the listed specifications.,neutral,battery,1,5
RV00062,2024-05-04,P004,MarketPulse Store,3,The AeroRun Flex is fine for regular use. The price matches the listed specifications.,neutral,price,1,10
RV00063,2024-10-20,P002,Marketplace,3,The SonicWave Lite is acceptable. The price is average and delivery took the expected time.,neutral,price,1,8
RV00064,2025-01-20,P001,Marketplace,5,The PulseBottle Pro feels reliable and the price is excellent. Delivery was quick and I would recommend it.,positive,price,1,1
RV00065,2025-04-05,P003,Support Follow-up,5,The FitTrack Neo feels reliable and the fitness tracking is excellent. Delivery was quick and I would recommend it.,positive,fitness tracking,1,8
RV00066,2025-05-04,P004,MarketPulse Store,3,The AeroRun Flex is acceptable. The sole quality is average and delivery took the expected time.,neutral,sole quality,1,3
RV00067,2024-03-25,P003,MarketPulse Store,1,The FitTrack Neo disappointed me. The price is poor and support took too long to respond.,negative,price,1,5
RV00068,2024-12-09,P004,Support Follow-up,1,Not satisfied with the AeroRun Flex. The fit failed within a few days and delivery was delayed.,negative,fit,1,0
RV00069,2024-04-02,P003,MarketPulse Store,3,The FitTrack Neo is acceptable. The battery is average and delivery took the expected time.,neutral,battery,0,15
RV00070,2025-10-06,P002,Marketplace,5,Excellent purchase. The SonicWave Lite has strong comfort and arrived in perfect condition.,positive,comfort,0,0
RV00071,2024-07-15,P003,Retail Survey,2,"Bad experience. The FitTrack Neo has weak price, confusing setup, and unhelpful service.",negative,price,1,0
RV00072,2024-05-29,P003,Marketplace,4,Very happy with the FitTrack Neo. The fitness tracking exceeded my expectations and the price feels fair.,positive,fitness tracking,1,6
RV00073,2025-04-13,P001,Marketplace,2,Not satisfied with the PulseBottle Pro. The lid seal failed within a few days and delivery was delayed.,negative,lid seal,1,0
RV00074,2024-12-13,P002,MarketPulse Store,5,Very happy with the SonicWave Lite. The sound quality exceeded my expectations and the price feels fair.,positive,sound quality,1,11
RV00075,2025-09-25,P003,Marketplace,5,Excellent purchase. The FitTrack Neo has strong display and arrived in perfect condition.,positive,display,1,0
RV00076,2024-09-01,P004,Support Follow-up,2,Not satisfied with the AeroRun Flex. The price failed within a few days and delivery was delayed.,negative,price,1,10
RV00077,2025-06-21,P002,MarketPulse Store,1,Not satisfied with the SonicWave Lite. The battery failed within a few days and delivery was delayed.,negative,battery,1,15
RV00078,2025-09-05,P003,Marketplace,5,The FitTrack Neo feels reliable and the fitness tracking is excellent. Delivery was quick and I would recommend it.,positive,fitness tracking,1,10
RV00079,2025-09-16,P002,Support Follow-up,1,The SonicWave Lite costs too much for this level of battery. I requested a return.,negative,battery,1,10
RV00080,2024-12-30,P004,Retail Survey,5,The AeroRun Flex feels reliable and the comfort is excellent. Delivery was quick and I would recommend it.,positive,comfort,1,7
RV00081,2024-01-13,P003,Marketplace,3,An ordinary experience with the FitTrack Neo. The fitness tracking is okay for the price.,neutral,fitness tracking,1,0
RV00082,2025-12-18,P003,Retail Survey,5,The FitTrack Neo feels reliable and the battery is excellent. Delivery was quick and I would recommend it.,positive,battery,1,2
RV00083,2024-04-09,P003,MarketPulse Store,3,"I received the FitTrack Neo. It works as described, although the display is neither great nor poor.",neutral,display,1,0
RV00084,2024-03-26,P004,Retail Survey,5,The AeroRun Flex feels reliable and the fit is excellent. Delivery was quick and I would recommend it.,positive,fit,0,0
RV00085,2024-04-21,P004,Retail Survey,5,The AeroRun Flex feels reliable and the sole quality is excellent. Delivery was quick and I would recommend it.,positive,sole quality,1,4
RV00086,2025-12-21,P003,Retail Survey,4,The FitTrack Neo feels reliable and the battery is excellent. Delivery was quick and I would recommend it.,positive,battery,0,10
RV00087,2024-05-10,P004,Retail Survey,1,The AeroRun Flex disappointed me. The price is poor and support took too long to respond.,negative,price,0,5
RV00088,2024-08-07,P004,MarketPulse Store,5,Excellent purchase. The AeroRun Flex has strong fit and arrived in perfect condition.,positive,fit,1,4
RV00089,2024-10-02,P002,Support Follow-up,3,The SonicWave Lite is acceptable. The sound quality is average and delivery took the expected time.,neutral,sound quality,1,5
RV00090,2024-12-19,P002,Support Follow-up,5,Very happy with the SonicWave Lite. The comfort exceeded my expectations and the price feels fair.,positive,comfort,1,4
RV00091,2024-12-10,P003,MarketPulse Store,3,The FitTrack Neo is fine for regular use. The price matches the listed specifications.,neutral,price,1,4
RV00092,2024-05-30,P004,Marketplace,4,Very happy with the AeroRun Flex. The sole quality exceeded my expectations and the price feels fair.,positive,sole quality,0,0
RV00093,2025-10-12,P003,Retail Survey,5,The FitTrack Neo feels reliable and the fitness tracking is excellent. Delivery was quick and I would recommend it.,positive,fitness tracking,1,7
RV00094,2025-04-09,P003,MarketPulse Store,5,The FitTrack Neo feels reliable and the price is excellent. Delivery was quick and I would recommend it.,positive,price,1,4
RV00095,2025-12-24,P004,Support Follow-up,3,An ordinary experience with the AeroRun Flex. The fit is okay for the price.,neutral,fit,0,0
RV00096,2024-10-14,P002,Retail Survey,2,The SonicWave Lite costs too much for this level of comfort. I requested a return.,negative,comfort,0,8
RV00097,2024-03-12,P004,MarketPulse Store,5,The AeroRun Flex feels reliable and the fit is excellent. Delivery was quick and I would recommend it.,positive,fit,1,1
RV00098,2025-05-25,P004,Support Follow-up,4,"I have used the AeroRun Flex for several weeks. Great fit, simple setup, and helpful service.",positive,fit,1,0
RV00099,2025-01-22,P002,Support Follow-up,3,The SonicWave Lite is fine for regular use. The battery matches the listed specifications.,neutral,battery,1,10
RV00100,2025-06-09,P003,Marketplace,1,The FitTrack Neo costs too much for this level of display. I requested a return.,negative,display,0,4
RV00101,2025-10-30,P001,Marketplace,5,Very happy with the PulseBottle Pro. The price exceeded my expectations and the price feels fair.,positive,price,1,9
RV00102,2024-03-12,P001,Support Follow-up,4,Excellent purchase. The PulseBottle Pro has strong build quality and arrived in perfect condition.,positive,build quality,0,6
RV00103,2025-08-05,P002,Retail Survey,5,The SonicWave Lite feels reliable and the battery is excellent. Delivery was quick and I would recommend it.,positive,battery,1,0
RV00104,2025-10-20,P002,Support Follow-up,5,Very happy with the SonicWave Lite. The battery exceeded my expectations and the price feels fair.,positive,battery,1,5
RV00105,2024-01-25,P004,Retail Survey,2,Not satisfied with the AeroRun Flex. The sole quality failed within a few days and delivery was delayed.,negative,sole quality,1,9
RV00106,2025-04-09,P001,MarketPulse Store,3,The PulseBottle Pro is acceptable. The lid seal is average and delivery took the expected time.,neutral,lid seal,1,0
RV00107,2024-06-26,P003,Support Follow-up,5,Excellent purchase. The FitTrack Neo has strong price and arrived in perfect condition.,positive,price,1,0
RV00108,2025-12-07,P001,MarketPulse Store,1,The PulseBottle Pro disappointed me. The build quality is poor and support took too long to respond.,negative,build quality,1,16
RV00109,2025-10-16,P003,MarketPulse Store,1,The FitTrack Neo disappointed me. The display is poor and support took too long to respond.,negative,display,1,0
RV00110,2024-06-19,P004,Marketplace,3,"I received the AeroRun Flex. It works as described, although the sole quality is neither great nor poor.",neutral,sole quality,1,0
RV00111,2024-04-26,P001,Retail Survey,4,Excellent purchase. The PulseBottle Pro has strong build quality and arrived in perfect condition.,positive,build quality,1,7
RV00112,2025-12-01,P004,Marketplace,5,Very happy with the AeroRun Flex. The comfort exceeded my expectations and the price feels fair.,positive,comfort,1,11
RV00113,2025-08-01,P001,MarketPulse Store,4,Excellent purchase. The PulseBottle Pro has strong lid seal and arrived in perfect condition.,positive,lid seal,1,0
RV00114,2024-01-16,P003,Marketplace,5,"I have used the FitTrack Neo for several weeks. Great battery, simple setup, and helpful service.",positive,battery,1,7
RV00115,2024-09-12,P004,Support Follow-up,4,Excellent purchase. The AeroRun Flex has strong comfort and arrived in perfect condition.,positive,comfort,1,7
RV00116,2024-04-14,P002,MarketPulse Store,4,Excellent purchase. The SonicWave Lite has strong sound quality and arrived in perfect condition.,positive,sound quality,1,0
RV00117,2024-06-24,P003,Marketplace,4,Very happy with the FitTrack Neo. The battery exceeded my expectations and the price feels fair.,positive,battery,1,1
RV00118,2025-08-05,P001,Retail Survey,3,"I received the PulseBottle Pro. It works as described, although the temperature retention is neither great nor poor.",neutral,temperature retention,1,6
RV00119,2025-04-09,P004,Marketplace,2,The AeroRun Flex costs too much for this level of price. I requested a return.,negative,price,1,0
RV00120,2024-02-14,P004,Retail Survey,5,"I have used the AeroRun Flex for several weeks. Great sole quality, simple setup, and helpful service.",positive,sole quality,1,0
RV00121,2025-11-22,P003,Marketplace,5,The FitTrack Neo feels reliable and the display is excellent. Delivery was quick and I would recommend it.,positive,display,1,12
RV00122,2025-02-18,P001,MarketPulse Store,5,Very happy with the PulseBottle Pro. The lid seal exceeded my expectations and the price feels fair.,positive,lid seal,1,2
RV00123,2024-10-25,P004,Marketplace,3,An ordinary experience with the AeroRun Flex. The fit is okay for the price.,neutral,fit,0,10
RV00124,2025-05-03,P003,Marketplace,3,An ordinary experience with the FitTrack Neo. The display is okay for the price.,neutral,display,1,0
RV00125,2024-07-11,P003,Retail Survey,5,"I have used the FitTrack Neo for several weeks. Great fitness tracking, simple setup, and helpful service.",positive,fitness tracking,1,12
RV00126,2024-12-02,P002,MarketPulse Store,5,Very happy with the SonicWave Lite. The price exceeded my expectations and the price feels fair.,positive,price,1,6
RV00127,2024-10-28,P004,Marketplace,4,Excellent purchase. The AeroRun Flex has strong fit and arrived in perfect condition.,positive,fit,1,2
RV00128,2024-04-22,P004,Retail Survey,5,"I have used the AeroRun Flex for several weeks. Great fit, simple setup, and helpful service.",positive,fit,0,7
RV00129,2025-05-24,P003,Retail Survey,5,"I have used the FitTrack Neo for several weeks. Great display, simple setup, and helpful service.",positive,display,1,0
RV00130,2024-07-10,P004,MarketPulse Store,3,An ordinary experience with the AeroRun Flex. The comfort is okay for the price.,neutral,comfort,1,2
RV00131,2025-05-05,P002,MarketPulse Store,5,Very happy with the SonicWave Lite. The comfort exceeded my expectations and the price feels fair.,positive,comfort,1,8
RV00132,2024-02-04,P003,Marketplace,5,Excellent purchase. The FitTrack Neo has strong price and arrived in perfect condition.,positive,price,1,11
RV00133,2025-06-18,P003,MarketPulse Store,1,Not satisfied with the FitTrack Neo. The price failed within a few days and delivery was delayed.,negative,price,1,0
RV00134,2024-08-19,P003,Retail Survey,4,Excellent purchase. The FitTrack Neo has strong fitness tracking and arrived in perfect condition.,positive,fitness tracking,1,3
RV00135,2025-11-11,P003,Support Follow-up,3,An ordinary experience with the FitTrack Neo. The battery is okay for the price.,neutral,battery,1,13
RV00136,2025-02-03,P004,Support Follow-up,3,"I received the AeroRun Flex. It works as described, although the sole quality is neither great nor poor.",neutral,sole quality,1,0
RV00137,2024-02-11,P003,MarketPulse Store,3,"I received the FitTrack Neo. It works as described, although the display is neither great nor poor.",neutral,display,1,0
RV00138,2024-10-03,P002,MarketPulse Store,4,Very happy with the SonicWave Lite. The comfort exceeded my expectations and the price feels fair.,positive,comfort,1,0
RV00139,2024-09-23,P003,MarketPulse Store,3,"I received the FitTrack Neo. It works as described, although the price is neither great nor poor.",neutral,price,1,0
RV00140,2025-11-09,P003,MarketPulse Store,3,The FitTrack Neo is fine for regular use. The fitness tracking matches the listed specifications.,neutral,fitness tracking,1,1
RV00141,2024-07-31,P004,Marketplace,3,"I received the AeroRun Flex. It works as described, although the comfort is neither great nor poor.",neutral,comfort,0,6
RV00142,2025-09-29,P001,MarketPulse Store,3,The PulseBottle Pro is fine for regular use. The price matches the listed specifications.,neutral,price,1,0
RV00143,2025-11-12,P004,MarketPulse Store,3,An ordinary experience with the AeroRun Flex. The fit is okay for the price.,neutral,fit,1,9
RV00144,2025-01-30,P004,Marketplace,4,Excellent purchase. The AeroRun Flex has strong price and arrived in perfect condition.,positive,price,1,0
RV00145,2025-04-06,P004,MarketPulse Store,5,The AeroRun Flex feels reliable and the price is excellent. Delivery was quick and I would recommend it.,positive,price,0,7
RV00146,2024-04-18,P003,Retail Survey,3,The FitTrack Neo is acceptable. The display is average and delivery took the expected time.,neutral,display,1,2
RV00147,2024-08-30,P004,Marketplace,5,"I have used the AeroRun Flex for several weeks. Great sole quality, simple setup, and helpful service.",positive,sole quality,1,0
RV00148,2024-09-12,P003,Marketplace,4,The FitTrack Neo feels reliable and the fitness tracking is excellent. Delivery was quick and I would recommend it.,positive,fitness tracking,1,0
RV00149,2025-07-27,P004,MarketPulse Store,2,The AeroRun Flex costs too much for this level of fit. I requested a return.,negative,fit,0,12
RV00150,2024-10-23,P003,Marketplace,3,"I received the FitTrack Neo. It works as described, although the battery is neither great nor poor.",neutral,battery,1,8
RV00151,2024-05-21,P002,Retail Survey,3,An ordinary experience with the SonicWave Lite. The comfort is okay for the price.,neutral,comfort,1,1
RV00152,2025-03-20,P002,Support Follow-up,2,Not satisfied with the SonicWave Lite. The comfort failed within a few days and delivery was delayed.,negative,comfort,0,5
RV00153,2025-02-27,P002,Support Follow-up,5,Excellent purchase. The SonicWave Lite has strong price and arrived in perfect condition.,positive,price,0,6
RV00154,2024-07-06,P002,Support Follow-up,2,Not satisfied with the SonicWave Lite. The battery failed within a few days and delivery was delayed.,negative,battery,0,12
RV00155,2025-03-15,P003,Support Follow-up,2,"Bad experience. The FitTrack Neo has weak battery, confusing setup, and unhelpful service.",negative,battery,1,1
RV00156,2024-10-06,P003,Marketplace,5,"I have used the FitTrack Neo for several weeks. Great battery, simple setup, and helpful service.",positive,battery,1,7
RV00157,2025-09-21,P002,Marketplace,2,The SonicWave Lite disappointed me. The sound quality is poor and support took too long to respond.,negative,sound quality,1,11
RV00158,2024-04-05,P003,Marketplace,3,The FitTrack Neo is acceptable. The battery is average and delivery took the expected time.,neutral,battery,1,1
RV00159,2024-02-22,P004,MarketPulse Store,3,The AeroRun Flex is acceptable. The price is average and delivery took the expected time.,neutral,price,1,7
RV00160,2025-12-04,P004,Marketplace,4,"I have used the AeroRun Flex for several weeks. Great price, simple setup, and helpful service.",positive,price,0,11
RV00161,2024-05-09,P002,Support Follow-up,5,The SonicWave Lite feels reliable and the sound quality is excellent. Delivery was quick and I would recommend it.,positive,sound quality,1,9
RV00162,2024-09-16,P002,Support Follow-up,3,The SonicWave Lite is acceptable. The comfort is average and delivery took the expected time.,neutral,comfort,1,4
RV00163,2024-02-28,P003,MarketPulse Store,2,Not satisfied with the FitTrack Neo. The price failed within a few days and delivery was delayed.,negative,price,1,0
RV00164,2024-03-18,P002,MarketPulse Store,2,"Bad experience. The SonicWave Lite has weak sound quality, confusing setup, and unhelpful service.",negative,sound quality,1,0
RV00165,2025-03-06,P001,Support Follow-up,3,The PulseBottle Pro is fine for regular use. The build quality matches the listed specifications.,neutral,build quality,0,9
RV00166,2025-07-10,P002,MarketPulse Store,4,The SonicWave Lite feels reliable and the battery is excellent. Delivery was quick and I would recommend it.,positive,battery,1,10
RV00167,2025-03-08,P001,Retail Survey,5,Excellent purchase. The PulseBottle Pro has strong temperature retention and arrived in perfect condition.,positive,temperature retention,1,3
RV00168,2024-08-13,P004,Marketplace,5,"I have used the AeroRun Flex for several weeks. Great sole quality, simple setup, and helpful service.",positive,sole quality,1,1
RV00169,2024-05-05,P003,Support Follow-up,3,"I received the FitTrack Neo. It works as described, although the display is neither great nor poor.",neutral,display,1,13
RV00170,2024-11-01,P002,Support Follow-up,5,Excellent purchase. The SonicWave Lite has strong price and arrived in perfect condition.,positive,price,1,9
RV00171,2025-02-01,P003,Marketplace,1,"Bad experience. The FitTrack Neo has weak fitness tracking, confusing setup, and unhelpful service.",negative,fitness tracking,1,10
RV00172,2025-07-22,P002,Marketplace,3,"I received the SonicWave Lite. It works as described, although the battery is neither great nor poor.",neutral,battery,1,10
RV00173,2024-09-14,P002,Retail Survey,3,The SonicWave Lite is acceptable. The battery is average and delivery took the expected time.,neutral,battery,1,0
RV00174,2025-07-09,P002,Marketplace,5,The SonicWave Lite feels reliable and the sound quality is excellent. Delivery was quick and I would recommend it.,positive,sound quality,1,3
RV00175,2025-03-27,P001,Marketplace,3,An ordinary experience with the PulseBottle Pro. The temperature retention is okay for the price.,neutral,temperature retention,1,13
RV00176,2025-02-08,P004,MarketPulse Store,5,The AeroRun Flex feels reliable and the sole quality is excellent. Delivery was quick and I would recommend it.,positive,sole quality,1,12
RV00177,2025-05-06,P002,MarketPulse Store,4,Very happy with the SonicWave Lite. The comfort exceeded my expectations and the price feels fair.,positive,comfort,1,14
RV00178,2024-10-31,P002,Retail Survey,4,"I have used the SonicWave Lite for several weeks. Great price, simple setup, and helpful service.",positive,price,1,13
RV00179,2024-06-26,P004,MarketPulse Store,3,"I received the AeroRun Flex. It works as described, although the comfort is neither great nor poor.",neutral,comfort,0,0
RV00180,2025-10-09,P004,Retail Survey,5,Excellent purchase. The AeroRun Flex has strong fit and arrived in perfect condition.,positive,fit,1,1
RV00181,2025-10-19,P003,Marketplace,3,The FitTrack Neo is acceptable. The battery is average and delivery took the expected time.,neutral,battery,1,8
RV00182,2024-01-29,P002,Marketplace,2,The SonicWave Lite costs too much for this level of sound quality. I requested a return.,negative,sound quality,1,2
RV00183,2024-10-05,P002,Retail Survey,3,The SonicWave Lite is acceptable. The price is average and delivery took the expected time.,neutral,price,1,29
RV00184,2024-01-07,P004,Marketplace,3,The AeroRun Flex is acceptable. The sole quality is average and delivery took the expected time.,neutral,sole quality,1,0
RV00185,2024-07-28,P004,Marketplace,3,"I received the AeroRun Flex. It works as described, although the fit is neither great nor poor.",neutral,fit,1,9
RV00186,2025-08-04,P003,Support Follow-up,1,Not satisfied with the FitTrack Neo. The battery failed within a few days and delivery was delayed.,negative,battery,1,21
RV00187,2024-08-07,P001,MarketPulse Store,2,"Bad experience. The PulseBottle Pro has weak temperature retention, confusing setup, and unhelpful service.",negative,temperature retention,1,4
RV00188,2024-05-02,P002,Retail Survey,5,The SonicWave Lite feels reliable and the price is excellent. Delivery was quick and I would recommend it.,positive,price,1,0
RV00189,2024-07-08,P001,Marketplace,5,Excellent purchase. The PulseBottle Pro has strong lid seal and arrived in perfect condition.,positive,lid seal,0,13
RV00190,2025-12-10,P003,Marketplace,5,Excellent purchase. The FitTrack Neo has strong price and arrived in perfect condition.,positive,price,1,0
RV00191,2024-02-16,P003,Retail Survey,3,"I received the FitTrack Neo. It works as described, although the price is neither great nor poor.",neutral,price,1,13
RV00192,2024-09-02,P003,Marketplace,5,Very happy with the FitTrack Neo. The fitness tracking exceeded my expectations and the price feels fair.,positive,fitness tracking,1,0
RV00193,2024-12-05,P002,Support Follow-up,1,Not satisfied with the SonicWave Lite. The comfort failed within a few days and delivery was delayed.,negative,comfort,1,7
RV00194,2024-04-17,P001,Marketplace,3,An ordinary experience with the PulseBottle Pro. The temperature retention is okay for the price.,neutral,temperature retention,1,0
RV00195,2025-07-31,P003,Marketplace,1,"Bad experience. The FitTrack Neo has weak fitness tracking, confusing setup, and unhelpful service.",negative,fitness tracking,1,7
RV00196,2025-04-15,P002,MarketPulse Store,2,The SonicWave Lite costs too much for this level of comfort. I requested a return.,negative,comfort,1,8
RV00197,2024-10-25,P001,MarketPulse Store,4,"I have used the PulseBottle Pro for several weeks. Great temperature retention, simple setup, and helpful service.",positive,temperature retention,1,15
